# Distance [Å]	g(r)
0.0025	0.0
0.0075	0.0
0.012499999	0.0
0.0175	0.0
0.0225	0.0
0.0275	0.0
0.0325	0.0
0.0375	0.0
0.0425	0.0
0.0475	0.0
0.052500002	0.0
0.057499997	0.0
0.0625	0.0
0.067499995	0.0
0.072500005	0.0
0.0775	0.0
0.082499996	0.0
0.087500006	0.0
0.0925	0.0
0.0975	0.0
0.1025	0.0
0.1075	0.0
0.1125	0.0
0.1175	0.0
0.1225	0.0
0.1275	0.0
0.1325	0.0
0.1375	0.0
0.1425	0.0
0.14750001	0.0
0.1525	0.0
0.1575	0.0
0.1625	0.0
0.1675	0.0
0.1725	0.0
0.17750001	0.0
0.1825	0.0
0.1875	0.0
0.1925	0.0
0.19749999	0.0
0.2025	0.0
0.2075	0.0
0.2125	0.0
0.2175	0.0
0.2225	0.0
0.22749999	0.0
0.2325	0.0
0.2375	0.0
0.2425	0.0
0.2475	0.0
0.2525	0.0
0.2575	0.0
0.2625	0.0
0.26749998	0.0
0.2725	0.0
0.2775	0.0
0.2825	0.0
0.2875	0.0
0.2925	0.0
0.2975	0.0
0.3025	0.0
0.3075	0.0
0.3125	0.0
0.3175	0.0
0.3225	0.0010906798728756158
0.3275	0.0026440679760440728
0.3325	0.011799744034934296
0.3375	0.028382751380679496
0.3425	0.04738419434545718
0.3475	0.10004567400229597
0.3525	0.16295934396881748
0.35750002	0.2653843949414827
0.3625	0.33796700784406997
0.3675	0.5157189615629073
0.3725	0.616013796727798
0.3775	0.7582119022539733
0.3825	0.8207072014443909
0.3875	0.9507571377112513
0.39249998	1.092359739987283
0.3975	1.167364738380857
0.4025	1.2166179259338024
0.4075	1.353625254787988
0.4125	1.371681959670286
0.4175	1.4005213231098224
0.4225	1.4034656355158406
0.4275	1.4561849569428107
0.4325	1.4124054283743008
0.4375	1.347116540485229
0.4425	1.3640562746309712
0.4475	1.3127893752416322
0.4525	1.3285323051921154
0.4575	1.272286845681684
0.4625	1.2361737685747622
0.4675	1.2508818008594287
0.4725	1.1874545548936568
0.4775	1.1642094365725262
0.48250002	1.1587163705603383
0.4875	1.1138346940630544
0.4925	1.1098070747259738
0.4975	1.0784443678824838
0.5025	1.0698942633908104
0.5075	1.0641139237239583
0.5125	1.0097599233056997
0.5175	1.0079252964592014
0.5225	0.9615089801017939
0.5275	0.9698663530252039
0.5325	0.916924375777144
0.5375	0.8911179072781734
0.5425	0.8468252353564804
0.5475	0.835402764337281
0.5525	0.8257406687970729
0.5575	0.7593474357973616
0.5625	0.753975161210896
0.5675	0.727009552952637
0.5725	0.7228476144919079
0.5775	0.6892986505413463
0.5825	0.6781816188739803
0.5875	0.6472959447234898
0.5925	0.6448136343558832
0.5975	0.650437393211707
0.6025	0.6387487816833846
0.6075	0.6436467359614939
0.6125	0.6467873074617249
0.6175	0.6196966511051916
0.6225	0.6452037205984776
0.6275	0.6332331400859151
0.6325	0.6554447044958369
0.6375	0.6630711984349689
0.6425	0.6721621860063044
0.6475	0.6980761566810944
0.6525	0.7356465874760383
0.6575	0.7386627714601253
0.6625	0.7541828240234945
0.6675	0.8022524862437882
0.6725	0.8049128840977019
0.6775	0.8118566637982435
0.6825	0.8338616451340515
0.6875	0.8470927394806523
0.6925	0.8502834976737008
0.6975	0.8944443116158597
0.7025	0.9018748578777321
0.7075	0.9157990554706812
0.7125	0.945334350091254
0.7175	0.9373749024261788
0.7225	0.9411892537962133
0.7275	0.9489767191171161
0.7325	0.9813140543124721
0.7375	0.981816311701749
0.7425	0.9821173159054493
0.7475	0.9912524304586957
0.7525	0.9896420906995191
0.7575	0.975039174895092
0.7625	0.9961464345349736
0.7675	0.9999653019683187
0.7725	1.0040745753662783
0.7775	0.9994578306905214
0.7825	1.0072770154358412
0.7875	1.0150302713308739
0.7925	1.012468372666364
0.7975	0.9975780927696111
0.8025	1.0168059110238061
0.8075	1.0121738498128687
0.8125	1.0209669985680005
0.8175	1.0296553813332625
0.8225	1.0260596651195724
0.8275	1.0242243105081161
0.8325	1.0326566218238562
0.8375	1.0266727779344904
0.8425	1.0277758897620062
0.8475	1.0208260971226462
0.8525	1.0241897283570554
0.8575	1.0281637198040048
0.8625	1.0318386340389896
0.8675	1.0211835863712804
0.8725	1.0481797362020886
0.8775	1.0362003810702727
0.8825	1.0607534879122809
0.8875	1.0417069294907555
0.8925	1.0560621053312313
0.8975	1.052070444976698
0.9025	1.0531937451061812
0.9075	1.061304901731451
0.9125	1.0554336533922029
0.9175	1.0451153595254203
0.9225	1.0595403574280364
0.9275	1.0674602701913514
0.9325	1.0524630762624612
0.9375	1.06875859818858
0.9425	1.051636588114802
0.9475	1.0442319949012109
0.9525	1.062492486704405
0.9575	1.0474670101563677
0.9625	1.0552860223360172
0.9675	1.0600895818680447
0.9725	1.0356722887761507
0.9775	1.0497420689715942
0.9825	1.0378478029274256
0.9875	1.0232965526909428
0.9925	1.0405907196342212
0.9975	1.0328640818477377
